fecha,Y
2022-04-11,794
2022-04-12,799
2022-04-13,716
2022-04-14,334
2022-04-15,265
2022-04-16,431
2022-04-17,436
2022-04-18,882
2022-04-19,836
2022-04-20,940
2022-04-21,771
2022-04-22,906
2022-04-23,615
2022-04-24,384
2022-04-25,939
2022-04-26,746
2022-04-27,368
2022-04-28,84
2022-04-29,641
2022-04-30,534
2022-05-01,390
2022-05-02,862
2022-05-03,934
2022-05-04,702
2022-05-05,950
2022-05-06,915
2022-05-07,594
2022-05-08,341
2022-05-09,943
2022-05-10,960
2022-05-11,905
2022-05-12,946
2022-05-13,1022
2022-05-14,1016
2022-05-15,435
2022-05-16,997
2022-05-17,719
2022-05-18,899
2022-05-19,779
2022-05-20,1247
2022-05-21,630
2022-05-22,418
2022-05-23,1020
2022-05-24,967
2022-05-25,780
2022-05-26,872
2022-05-27,760
2022-05-28,621
2022-05-29,549
2022-05-30,650
2022-05-31,901
2022-06-01,1127
2022-06-02,1855
2022-06-03,928
2022-06-04,591
2022-06-05,739
2022-06-06,888
2022-06-07,920
2022-06-08,785
2022-06-09,930
2022-06-10,787
2022-06-11,688
